,risk_category,state_name,county_name,census_tract_code
59918,Current Risk (FEMA High Risk),New Jersey,Cape May,34009021900
59919,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020800
62504,Current Risk (FEMA High Risk),New Jersey,Cape May,34009021600
71412,Current Risk (FEMA High Risk),New Jersey,Cape May,34009021300
71482,Current Risk (FEMA High Risk),New Jersey,Cape May,34009021001
75748,Current Risk (FEMA High Risk),New Jersey,Cape May,34009021804
3791,Current Risk (FEMA High Risk),New Jersey,Atlantic,34001013302
12571,Current Risk (FEMA High Risk),New Jersey,Atlantic,34001013000
12572,Current Risk (FEMA High Risk),New Jersey,Atlantic,34001000100
12573,Current Risk (FEMA High Risk),New Jersey,Atlantic,34001000500
